title,url,time_added,tags,status
https://www.seedtoscale.com/blog/kunal-shahs-delta-4-theory-of-successful-startups,https://www.seedtoscale.com/blog/kunal-shahs-delta-4-theory-of-successful-startups,1719863058,,archive
Growing 4 Products to $45K/Mo,https://www.failory.com/newsletter/growing-4-products-to-45k-mo,1696347405,,archive
https://www.ft.com/content/290bddfa-a4d5-468f-80d9-623a27c826f3?sharetype=blocked,https://www.ft.com/content/290bddfa-a4d5-468f-80d9-623a27c826f3?sharetype=blocked,1697466380,,archive
" Policy   Social Issues  Atilla died alone, and seemed to have no family. B",https://www.theguardian.com/society/2023/oct/21/atilla-died-alone-and-seemed-to-have-no-family-but-a-sex-shop-told-a-surprisingly-different-story,1697866582,,archive
Israel’s failures and response to the Hamas attack: A preliminary assessmen,https://www.mei.edu/publications/israels-failures-and-response-hamas-attack-preliminary-assessment,1698643340,,archive
 Policy   Social Issues  How an Indian startup hacked the world,https://www.reuters.com/investigates/special-report/usa-hackers-appin/,1700452047,,archive
Explaining SSH to my Uber Driver - DEV Community,https://dev.to/therubberduckiee/explaining-ssh-to-my-uber-driver-38a,1701373613,,archive
The Best Venture Firm You’ve Never Heard Of | The Generalist,https://www.generalist.com/briefing/hummingbird-ventures,1702706329,,archive
Feature Study: Diablo IV's Inventory,https://gamedevartisan.com/game-design/feature-study-d4-inventory,1747657463,,unread
Coding the Entity-Component pattern in Godot · GDQuest,https://gdquest.com/tutorial/godot/design-patterns/entity-component-pattern/,1720280076,,archive
Missing Cryptoqueen Ruja Ignatova’s links to Bulgaria underworld,https://www.bbc.com/news/articles/c2llvlx2ez9o,1717417651,,archive
Founder Mode,https://paulgraham.com/foundermode.html,1725270497,,archive
"Where Did the Serial Killers from the ’80s Go? They’re Online Now, and in Plain Sight",https://substack.com/home/post/p-148558589,1725622325,,archive
How Computers and Devices Run Code,https://gdscript.com/articles/how-computers-and-devices-run-code/,1727468222,,archive
Pure vs Impure Functions in Functional Programming – What's the Difference?,https://www.freecodecamp.org/news/pure-function-vs-impure-function/,1728136497,,archive
Application-layer AI companies: the next big thing,https://jamesjiao.com/application-layer-ai-companies/,1740928910,,archive
Don’t be spooky | Adam Keys is Thinking,https://therealadam.com/2021/11/01/dont-be-spooky.html,1743075481,,archive
Middle-Aged Man Trading Cards Go Viral in Rural Japan Town,https://www.tokyoweekender.com/entertainment/middle-aged-man-trading-cards-go-viral-in-japan/,1744093363,,archive
Chickensoft — Open source tools for Godot and C#,https://chickensoft.games/blog/game-architecture,1745266231,,archive
Simon Dalvai,https://simondalvai.org/,1747658506,,unread
